Name,Edition,Platform,Format,Region,Now Playing,Backlogged,Ownership Status,Progress Status,Rating,Initial Release Date,Item Release Date,Added On,Genre
7 Days to Die,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,12/13/2013,12/13/2013,10/02/2024,Survival Horror
Aim Lab,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,,,10/02/2024,
Among Us,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,6/15/2018,,10/02/2024,Party
Apex Legends,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,9,02/04/2019,,10/02/2024,Battle Royale
ArcheAge,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,7/23/2013,9/16/2014,10/02/2024,RPG
Black Desert Online,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,03/03/2016,,10/02/2024,Action RPG
Brawlhalla,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,,,10/02/2024,
Business Tour,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,,,10/02/2024,
Counter-Strike: Global Offensive,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,,,10/02/2024,First-person Shooter
Dark and Darker,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,06/07/2024,,10/02/2024,
DayZ,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,07/09/2012,07/09/2012,10/02/2024,Survival
Deceit,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,03/03/2017,,10/02/2024,First-person Shooter
Deep Rock Galactic,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,2/28/2018,,10/02/2024,First-person Shooter
Destiny 2,,PC / Windows,Digital (Steam),NA,No,Yes,Owned,Incomplete,,09/06/2017,,10/02/2024,First-person Shooter
